"created_at","state","code","text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"02","Wisconsin","WI","rt tomphillipsin “ belongs   past  worst president  brazilian history”  man leading lula’s column  são paulo says…",0,0,0,0,0,0,0,2,0,1
"02","Florida","FL","rt donkoclock anne   lifelong democrat lulu28686383 loves dogs amp nature   new  twitter  just joined  august calling …",0,0,0,0,0,0,0,0,0,2
"02","Texas","TX","5th grade conehole toss mcneilelem mcneilfifth 
mckinneyisd youbelonginmisd httpstcoubotmgmznu",0,0,0,0,0,0,0,0,0,0
"02","Utah","UT","rt ldsconf bishopcaussé said earthly stewardship includes 3 principles
1  entire earth including  life thereon belongs  god…",0,1,0,1,1,0,0,1,0,2
"02","Oregon","OR","eoshipper99 wolfent lawandordertv chrismeloni   posed  ’s smiling   seems like  camera … httpstcogyu5nryvy6",0,0,0,0,1,0,0,0,0,1
"02","South Carolina","SC","myrtleeers  feel  pain lifelong wvu fan ",0,0,0,1,0,1,0,0,1,0
"02","California","CA","meloniemac  cant imagine anyone wearing armor unless   either ready    attack",1,1,0,2,0,0,0,1,1,1
"02","Michigan","MI","rt theoklaproject kevin stitt said  tax dollars belong   classroom    pockets  bureaucrats

    refus…",0,0,0,0,0,1,0,0,1,0
"02","Florida","FL","evthat elonmusk wholemarsblog nba2k  call  duty skill might  incredible",0,0,0,0,0,0,0,0,0,0
"02","California","CA","rt ennikpinks blocked  favs   just melon  flo",0,0,0,0,0,0,0,0,0,0
"02","Tennessee","TN","drhughpetty  talk battle rap everyday  names never come   thought 😂😂😂😂 mid   belong",1,1,0,0,0,0,0,0,1,1
"02","Florida","FL","rt dailyloud tesla reveals new ai robot “optimus” 😳🦾

elon musk says  will cost  20000  httpstcoyv65havk4w",0,0,0,0,0,0,0,0,0,0
"02","South Carolina","SC","angeldeadrose meloniemac idk man ’ve seen  videos  creep   lol",0,0,0,0,0,0,0,0,1,0
"02","Georgia","GA","rt thelondoncucko1 ’ll never stop   cuck boyfriend just loves fucking twinks  much
danieldixxx httpstcouk2km9twwu",0,0,0,0,0,0,0,0,0,0
"02","California","CA","rt nhra  funny car  1   midwestnats belongs  roberthight7000 

nhracampingworld httpstcoebijalczg7",0,0,0,0,0,0,0,0,0,0
"02","Texas","TX","rt bonermaterial2   play   anime melon tonight 🍈🍈 httpstcohwe9hxvhxu",0,0,0,0,0,0,0,0,0,0
"02","South Carolina","SC","rt chrismeloni lotta truths  spouted",0,0,0,0,0,0,0,0,0,0
"02","Louisiana","LA","rt chrisherrington  one quarter   preseason game  junior lofton continues  look 100 like  belongs   didnt know yo…",0,0,0,0,0,0,0,0,0,0
"02","South Carolina","SC","rt atxpatriot dpl3 rosestaff2012 nicolegun09 gunthereagleman 45lvnancy alurajenson ericmmatheny elonmusk truthhammer15 appsam…",0,0,0,0,0,0,0,0,0,0
"02","Florida","FL","rt elonmusk ryanafournier   according  greatest need  race  anything else",0,0,0,0,0,0,0,0,0,0
"02","New York","NY","bramcat staradder8 makedasoot nightwolf1298 waggerycos lemonbrat meloncorgo corgilegs leonkitty1… httpstcovlgdnqeloh",0,0,0,0,0,0,0,0,0,0
"02","California","CA","rt tweetermeyer elon musks entire schtick now  making  demo smirking    companies   already done  lot  work …",0,0,0,0,0,0,0,0,0,0
"02","Georgia","GA","rt draelonburns chase  dream  money",1,1,0,0,1,0,1,1,1,1
"02","Nevada","NV","rt jeffmelon6   101 followers httpstco7jkklhfcat",0,0,0,0,0,0,0,0,0,0
"02","Louisiana","LA","wholemarsblog elonmusk lets see    simple task like laundry  making breakfast first  migrate  c… httpstcowfw3odps8o",0,0,0,0,0,0,0,0,0,2
"02","California","CA","rt tribelaw hard  disagree  repjeffries  ginny thomas    confessed  seditious conspiracy  federal felony disgus…",1,0,0,1,0,0,0,0,2,0
